0.100000,0.100000,0.100000,0.000000,0.000000,0.200000,-1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.097062,0.100154,0.097382,0.000211,0.014964,0.186343,-1.601303,0.000005,0.076799,-0.081184,0.029172,-0.033558,0.000000
0.094202,0.100272,0.094830,0.000417,0.030440,0.170913,-1.601362,0.000011,0.151043,-0.160735,0.057052,-0.066744,0.000000
0.091417,0.100346,0.092341,0.000618,0.046523,0.153384,-1.599964,0.000021,0.222615,-0.238915,0.083479,-0.099780,0.000000
0.088705,0.100363,0.089913,0.000816,0.063296,0.133426,-1.596880,0.000036,0.291296,-0.316082,0.108192,-0.132978,0.000000
0.086063,0.100302,0.087542,0.001011,0.080782,0.110787,-1.591897,0.000056,0.356701,-0.392750,0.130767,-0.166816,0.000000
0.083488,0.100131,0.085223,0.001202,0.098803,0.085557,-1.584939,0.000084,0.418187,-0.469685,0.150524,-0.202022,0.000000
0.080980,0.099801,0.082950,0.001391,0.116665,0.058828,-1.576419,0.000119,0.474778,-0.547978,0.166452,-0.239652,0.000000
0.078535,0.099260,0.080719,0.001576,0.132664,0.033826,-1.567872,0.000163,0.525398,-0.628811,0.177444,-0.280858,0.000000
0.076153,0.098496,0.078528,0.001759,0.144447,0.015493,-1.561900,0.000216,0.569860,-0.712467,0.183283,-0.325891,0.000000
0.073831,0.097566,0.076381,0.001938,0.151327,0.005675,-1.559682,0.000279,0.609380,-0.797812,0.185161,-0.373593,0.000000
0.071568,0.096521,0.074280,0.002114,0.154782,0.001537,-1.559874,0.000352,0.645064,-0.883824,0.184159,-0.422919,0.000000
0.069362,0.095374,0.072227,0.002287,0.156256,0.000041,-1.560899,0.000435,0.677255,-0.970251,0.180591,-0.473587,0.000000
0.067211,0.094127,0.070219,0.002457,0.156486,-0.000428,-1.561891,0.000528,0.705997,-1.057135,0.174476,-0.525615,0.000000
0.065115,0.092778,0.068255,0.002625,0.155767,-0.000553,-1.562473,0.000632,0.731275,-1.144575,0.165774,-0.579074,0.000000
0.063072,0.091323,0.066335,0.002789,0.154191,-0.000579,-1.562500,0.000745,0.753071,-1.232668,0.154443,-0.634040,0.000000
0.061079,0.089762,0.064457,0.002951,0.151772,-0.000582,-1.561922,0.000869,0.771372,-1.321505,0.140446,-0.690580,0.000000
0.059137,0.088091,0.062620,0.003110,0.148500,-0.000580,-1.560722,0.001003,0.786175,-1.411161,0.123760,-0.748746,0.000000
0.057243,0.086311,0.060824,0.003267,0.144364,-0.000575,-1.558893,0.001145,0.797497,-1.501692,0.104378,-0.808572,0.000000
0.055396,0.084423,0.059067,0.003422,0.139358,-0.000567,-1.556437,0.001298,0.805382,-1.593119,0.082324,-0.870061,0.000000
0.053595,0.082429,0.057350,0.003575,0.133481,-0.000556,-1.553361,0.001459,0.809913,-1.685424,0.057663,-0.933174,0.000000
0.051839,0.080335,0.055670,0.003725,0.126747,-0.000544,-1.549684,0.001628,0.811233,-1.778525,0.030519,-0.997811,0.000000
0.050127,0.078150,0.054029,0.003873,0.119182,-0.000530,-1.545437,0.001805,0.809562,-1.872261,0.001095,-1.063794,0.000000
0.048458,0.075888,0.052427,0.004020,0.110832,-0.000516,-1.540672,0.001990,0.805223,-1.966365,-0.030304,-1.130838,0.000000
0.046830,0.073570,0.050863,0.004165,0.101764,-0.000502,-1.535459,0.002182,0.798666,-2.060440,-0.063243,-1.198530,0.000000
0.045244,0.071223,0.049338,0.004307,0.092074,-0.000488,-1.529896,0.002380,0.790497,-2.153931,-0.097133,-1.266301,0.000000
0.043697,0.068884,0.047852,0.004449,0.081886,-0.000477,-1.524112,0.002585,0.781492,-2.246112,-0.131211,-1.333408,0.000000
0.042189,0.066596,0.046408,0.004588,0.071354,-0.000468,-1.518262,0.002794,0.772600,-2.336077,-0.164543,-1.398934,0.000000
0.040720,0.064411,0.045005,0.004726,0.060660,-0.000462,-1.512531,0.003009,0.764923,-2.422768,-0.196039,-1.461807,0.000000
0.039288,0.062385,0.043645,0.004862,0.050002,-0.000460,-1.507118,0.003228,0.759667,-2.505024,-0.224506,-1.520851,0.000000
0.037893,0.060576,0.042330,0.004997,0.039580,-0.000460,-1.502230,0.003451,0.758057,-2.581660,-0.248732,-1.574870,0.000000
0.036534,0.059038,0.041059,0.005130,0.029584,-0.000463,-1.498057,0.003677,0.761246,-2.651567,-0.267578,-1.622743,0.000000
0.035209,0.057816,0.039833,0.005262,0.020173,-0.000469,-1.494764,0.003906,0.770214,-2.713810,-0.280076,-1.663520,0.000000
0.033919,0.056944,0.038651,0.005393,0.011466,-0.000476,-1.492473,0.004137,0.785703,-2.767694,-0.285499,-1.696492,0.000000
0.032663,0.056445,0.037513,0.005523,0.003536,-0.000484,-1.491262,0.004370,0.808184,-2.812796,-0.283391,-1.721222,0.000000
0.031438,0.056326,0.036416,0.005653,-0.003589,-0.000492,-1.491160,0.004604,0.837863,-2.848961,-0.273560,-1.737539,0.000000
0.030245,0.056585,0.035359,0.005783,-0.009919,-0.000501,-1.492162,0.004839,0.874721,-2.876260,-0.256040,-1.745498,0.000000
0.029083,0.057214,0.034340,0.005913,-0.015492,-0.000509,-1.494231,0.005075,0.918569,-2.894934,-0.231039,-1.745327,0.000000
0.027950,0.058195,0.033356,0.006044,-0.020367,-0.000517,-1.497311,0.005310,0.969095,-2.905344,-0.198881,-1.737369,0.000000
0.026845,0.059510,0.032407,0.006175,-0.024612,-0.000527,-1.501331,0.005544,1.025921,-2.907917,-0.159959,-1.722037,0.000000
0.025768,0.061138,0.031488,0.006309,-0.028308,-0.000525,-1.506225,0.005778,1.088638,-2.903108,-0.114697,-1.699773,0.000000
0.024718,0.063060,0.030600,0.006443,-0.031499,-0.000574,-1.511885,0.006010,1.156834,-2.891374,-0.063520,-1.671020,0.000000
